Display,Topic,Type,Answer Type,PMI System,PMI Code,Parent code,Item ID,Date of Last Update,,Standard Code Source,Source URL,LOINC Category Code (Search This),LOINC Category ID,LOINC Answer ID,FHIR System OID,FHIR Level,FHIR Code,UMLS (SNOMED) ConceptID,UMLS (SNOMED) DescriptionID
Healthcare Access & Utilization,Module Name,Module Name,,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthcareAccess,,,4/19/2018,,,,,,,,,,,
Insurance,Insurance,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthcareAccess_Insurance,HealthcareAccess,,1/31/2018,,,,,,,,,,,
Are you currently covered by any of the following types of health insurance or health coverage plans? Mark yes or no for EACH type of coverage below ,Insurance,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,Insurance_InsuranceType,HealthcareAccess_Insurance,,1/31/2018,,,,,,,,,,,
"Insurance through a current or former employer 
or union (by you or another family member)",Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuranceType_EmployerOrUnion,Insurance_InsuranceType,,1/31/2018,,,,,,,,,,,
"Insurance purchased directly from an insurance company (by you or another family member)
",Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuranceType_PurchasedInsurace,Insurance_InsuranceType,,1/31/2018,,,,,,,,,,,
"Medicare, for people 65 and older or people with certain disabilities
",Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuranceType_Medicare,Insurance_InsuranceType,,1/31/2018,,,,,,,,,,,
"Medicaid, Medical Assistance, or any kind of government-assistance plan
for those with low incomes or disability",Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuranceType_GovernmentAssistancePlan,Insurance_InsuranceType,,1/31/2018,,,,,,,,,,,
TRICARE or other military health care,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuranceType_TricareOrMilitary,Insurance_InsuranceType,,1/31/2018,,,,,,,,,,,
Veteran’s Administration (VA) (including those who have ever used or enrolled for VA health care),Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuranceType_VeteranAdministration,Insurance_InsuranceType,,1/31/2018,,,,,,,,,,,
Indian Health Service,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuranceType_IndianHealthService,Insurance_InsuranceType,,1/31/2018,,,,,,,,,,,
"Any other type of health insurance or health coverage plan
",Insurance,Question,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuraceType_OtherInsuranceType,Insurance_InsuranceType,,1/31/2018,,,,,,,,,,,
Free Text Box,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,OtherInsuranceType_FreeText,Insurance_InsuranceType,,1/31/2018,,,,,,,,,,,
I don’ t have insurance; Self-Pay,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuranceType_SelfPayOrNone,Insurance_InsuranceType,,1/31/2018,,,,,,,,,,,
"DURING THE PAST 12 MONTHS, were you told by a health care provider or doctor’s office that they did not accept your health care coverage? ",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,Insurance_InsuranceAccepted,HealthcareAccess_Insurance,,1/31/2018,,,,,,,,,,,
Yes,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuranceAccepted_Yes,Insurance_InsuranceAccepted,,1/31/2018,,,,,,,,,,,
No,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,InsuranceAccepted_No,Insurance_InsuranceAccepted,,1/31/2018,,,,,,,,,,,
"In regard to your health insurance or health care coverage, how does it compare to a year ago? Is it better, worse, or about the same?
",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,Insurance_HealthcareCoverage,HealthcareAccess_Insurance,,1/31/2018,,,,,,,,,,,
Better,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthcareCoverage_Better,Insurance_HealthcareCoverage,,1/31/2018,,,,,,,,,,,
Worse,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthcareCoverage_Worse,Insurance_HealthcareCoverage,,1/31/2018,,,,,,,,,,,
About the same,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthcareCoverage_AboutTheSame,Insurance_HealthcareCoverage,,1/31/2018,,,,,,,,,,,
Health Advice,Insurance,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthcareAccess_HealthAdvice,HealthcareAccess,,1/31/2018,,,,,,,,,,,
Is there a place that you USUALLY go to when you are sick or need advice about your health? ,Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_PlaceforHealthAdvice,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
Yes,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,PlaceforHealthAdvice_Yes,HealthAdvice_PlaceforHealthAdvice,,1/31/2018,,,,,,,,,,,
There is NO place,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,PlaceforHealthAdvice_No,HealthAdvice_PlaceforHealthAdvice,,1/31/2018,,,,,,,,,,,
There is MORE THAN ONE place,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,PlaceforHealthAdvice_MoreThanOne,HealthAdvice_PlaceforHealthAdvice,,1/31/2018,,,,,,,,,,,
What kind of place do you go to most often? ,Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_WhatKindOfPlace,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
"Doctor’s Office, Clinic or Health Center",Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,WhatKindOfPlace_DoctorsOffice,HealthAdvice_WhatKindOfPlace,,1/31/2018,,,,,,,,,,,
Urgent Care or Minute Clinic,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,WhatKindOfPlace_UrgentCare,HealthAdvice_WhatKindOfPlace,,1/31/2018,,,,,,,,,,,
Hospital Emergency Room,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,WhatKindOfPlace_EmergencyRoom,HealthAdvice_WhatKindOfPlace,,1/31/2018,,,,,,,,,,,
Some other place,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,WhatKindOfPlace_SomeOtherPlace,HealthAdvice_WhatKindOfPlace,,1/31/2018,,,,,,,,,,,
Don't go to one place most often,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,WhatKindOfPlace_NoOnePlaceMostOften,HealthAdvice_WhatKindOfPlace,,1/31/2018,,,,,,,,,,,
"About how long has it been since you last saw or talked to a doctor or other health care 
professional about your own health? ",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_SpokenToProfessional,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
Never,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToProfessional_Never,HealthAdvice_SpokenToProfessional,,1/31/2018,,,,,,,,,,,
6 months or less,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToProfessional_6moOrLess,HealthAdvice_SpokenToProfessional,,1/31/2018,,,,,,,,,,,
"More than 6 mos, but not more than 1 yr ago",Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToProfessional_6MoTo1YearAgo,HealthAdvice_SpokenToProfessional,,1/31/2018,,,,,,,,,,,
"More than 1 yr, but not more than 2 yrs ago ",Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToProfessional_1To2YearsAgo,HealthAdvice_SpokenToProfessional,,1/31/2018,,,,,,,,,,,
"More than 2 yrs, but not more than 5 yrs ago ",Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToProfessional_2To5YearsAgo,HealthAdvice_SpokenToProfessional,,1/31/2018,,,,,,,,,,,
More than 5 years ago ,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToProfessional_MoreThan5YearsAgo,HealthAdvice_SpokenToProfessional,,1/31/2018,,,,,,,,,,,
"DURING THE PAST 12 MONTHS, have you seen or talked to any of the following health care providers about your own health? ...A general doctor who treats a variety of illnesses (a physician in general practice, primary care, family medicine, or internal medicine)? 
",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_SpokenToGeneralDoctor,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
Yes,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToGeneralDoctor_Yes,HealthAdvice_SpokenToGeneralDoctor,,1/31/2018,,,,,,,,,,,
No,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToGeneralDoctor_No,HealthAdvice_SpokenToGeneralDoctor,,1/31/2018,,,,,,,,,,,
"What is the total number of general doctor visits you made in the last 12 months
",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_GeneralDoctorVisits,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
1,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GeneralDoctorVisits_1,HealthAdvice_GeneralDoctorVisits,,1/31/2018,,,,,,,,,,,
2-3,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GeneralDoctorVisits_2to3,HealthAdvice_GeneralDoctorVisits,,1/31/2018,,,,,,,,,,,
4-5,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GeneralDoctorVisits_4to5,HealthAdvice_GeneralDoctorVisits,,1/31/2018,,,,,,,,,,,
6-7,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GeneralDoctorVisits_6to7,HealthAdvice_GeneralDoctorVisits,,1/31/2018,,,,,,,,,,,
8-9,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GeneralDoctorVisits_8to9,HealthAdvice_GeneralDoctorVisits,,1/31/2018,,,,,,,,,,,
10-12,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GeneralDoctorVisits_10to12,HealthAdvice_GeneralDoctorVisits,,1/31/2018,,,,,,,,,,,
13-15,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GeneralDoctorVisits_13to15,HealthAdvice_GeneralDoctorVisits,,1/31/2018,,,,,,,,,,,
16 or more,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,GeneralDoctorVisits_16orMore,HealthAdvice_GeneralDoctorVisits,,1/31/2018,,,,,,,,,,,
"DURING THE PAST 12 MONTHS, have you seen or talked to any of the following health care providers about your own health? ...A nurse practitioner, physician assistant, or midwife ",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_SpokenToNursePractitioner,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
Yes,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToNursePractitioner_Yes,HealthAdvice_SpokenToNursePractitioner,,1/31/2018,,,,,,,,,,,
No,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToNursePractitioner_No,HealthAdvice_SpokenToNursePractitioner,,1/31/2018,,,,,,,,,,,
"What is the total number of nurse practitioner, physician assistant, or midwife visits you made in the last 12 months",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_NursePractitionerVisits,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
1,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NursePractitionerVisits_1,HealthAdvice_NursePractitionerVisits,,1/31/2018,,,,,,,,,,,
2-3,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NursePractitionerVisits_2to3,HealthAdvice_NursePractitionerVisits,,1/31/2018,,,,,,,,,,,
4-5,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NursePractitionerVisits_4to5,HealthAdvice_NursePractitionerVisits,,1/31/2018,,,,,,,,,,,
6-7,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NursePractitionerVisits_6to7,HealthAdvice_NursePractitionerVisits,,1/31/2018,,,,,,,,,,,
8-9,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NursePractitionerVisits_8to9,HealthAdvice_NursePractitionerVisits,,1/31/2018,,,,,,,,,,,
10-12,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NursePractitionerVisits_10to12,HealthAdvice_NursePractitionerVisits,,1/31/2018,,,,,,,,,,,
13-15,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NursePractitionerVisits_13to15,HealthAdvice_NursePractitionerVisits,,1/31/2018,,,,,,,,,,,
16 or more,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,NursePractitionerVisits_16orMore,HealthAdvice_NursePractitionerVisits,,1/31/2018,,,,,,,,,,,
"DURING THE PAST 12 MONTHS, have you seen or talked to any of the following health care providers about your own health? ...A doctor who specializes in women's health (an obstetrician/gynecologist) ",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_SpokenToOBGYN,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
Yes,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToOBGYN_Yes,HealthAdvice_SpokenToOBGYN,,1/31/2018,,,,,,,,,,,
No,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToOBGYN_No,HealthAdvice_SpokenToOBGYN,,1/31/2018,,,,,,,,,,,
What is the total number visits to a doctor who specializes in women's health that you made in the last 12 months,Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_OBGYNVisits,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
1,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,OBGYNVisits_1,HealthAdvice_OBGYNVisits,,1/31/2018,,,,,,,,,,,
2-3,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,OBGYNVisits_2to3,HealthAdvice_OBGYNVisits,,1/31/2018,,,,,,,,,,,
4-5,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,OBGYNVisits_4to5,HealthAdvice_OBGYNVisits,,1/31/2018,,,,,,,,,,,
6-7,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,OBGYNVisits_6to7,HealthAdvice_OBGYNVisits,,1/31/2018,,,,,,,,,,,
8-9,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,OBGYNVisits_8to9,HealthAdvice_OBGYNVisits,,1/31/2018,,,,,,,,,,,
10-12,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,OBGYNVisits_10to12,HealthAdvice_OBGYNVisits,,1/31/2018,,,,,,,,,,,
13-15,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,OBGYNVisits_13to15,HealthAdvice_OBGYNVisits,,1/31/2018,,,,,,,,,,,
16 or more,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,OBGYNVisits_16orMore,HealthAdvice_OBGYNVisits,,1/31/2018,,,,,,,,,,,
"DURING THE PAST 12 MONTHS, have you seen or talked to any of the following health care providers about your own health?...A mental health professional such as a psychiatrist, psychologist, psychiatric nurse, or clinical social worker ",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_SpokenToMentalHealthProfessional,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
Yes,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToMentalHealthProfessional_Yes,HealthAdvice_SpokenToMentalHealthProfessional,,1/31/2018,,,,,,,,,,,
No,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToMentalHealthProfessional_No,HealthAdvice_SpokenToMentalHealthProfessional,,1/31/2018,,,,,,,,,,,
What is the total number visits to a mental health professional that you made in the last 12 months,Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_MentalHealthProfessionalVisits,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
1,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalHealthProfessionalVisits_1,HealthAdvice_MentalHealthProfessionalVisits,,1/31/2018,,,,,,,,,,,
2-3,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalHealthProfessionalVisits_2to3,HealthAdvice_MentalHealthProfessionalVisits,,1/31/2018,,,,,,,,,,,
4-5,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalHealthProfessionalVisits_4to5,HealthAdvice_MentalHealthProfessionalVisits,,1/31/2018,,,,,,,,,,,
6-7,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalHealthProfessionalVisits_6to7,HealthAdvice_MentalHealthProfessionalVisits,,1/31/2018,,,,,,,,,,,
8-9,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalHealthProfessionalVisits_8to9,HealthAdvice_MentalHealthProfessionalVisits,,1/31/2018,,,,,,,,,,,
10-12,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalHealthProfessionalVisits_10to12,HealthAdvice_MentalHealthProfessionalVisits,,1/31/2018,,,,,,,,,,,
13-15,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalHealthProfessionalVisits_13to15,HealthAdvice_MentalHealthProfessionalVisits,,1/31/2018,,,,,,,,,,,
16 or more,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,MentalHealthProfessionalVisits_16orMore,HealthAdvice_MentalHealthProfessionalVisits,,1/31/2018,,,,,,,,,,,
"DURING THE PAST 12 MONTHS, have you seen or talked to any of the following health care providers about your own health?...An optometrist, ophthalmologist, or eye doctor (someone who prescribes eyeglasses) ",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_SpokenToEyeDoctor,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
Yes,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToEyeDoctor_Yes,HealthAdvice_SpokenToEyeDoctor,,1/31/2018,,,,,,,,,,,
No,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SpokenToEyeDoctor_No,HealthAdvice_SpokenToEyeDoctor,,1/31/2018,,,,,,,,,,,
"What is the total number visits to an eye doctor that you made in the last 12 months
",Insurance,Question,single select ,http://terminology.pmi-ops.org/CodeSystem/ppi,HealthAdvice_EyeDoctorVisits,HealthcareAccess_HealthAdvice,,1/31/2018,,,,,,,,,,,
1,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EyeDoctorVisits_1,HealthAdvice_EyeDoctorVisits,,1/31/2018,,,,,,,,,,,
2-3,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EyeDoctorVisits_2to3,HealthAdvice_EyeDoctorVisits,,1/31/2018,,,,,,,,,,,
4-5,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EyeDoctorVisits_4to5,HealthAdvice_EyeDoctorVisits,,1/31/2018,,,,,,,,,,,
6-7,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EyeDoctorVisits_6to7,HealthAdvice_EyeDoctorVisits,,1/31/2018,,,,,,,,,,,
8-9,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EyeDoctorVisits_8to9,HealthAdvice_EyeDoctorVisits,,1/31/2018,,,,,,,,,,,
10-12,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EyeDoctorVisits_10to12,HealthAdvice_EyeDoctorVisits,,1/31/2018,,,,,,,,,,,
13-15,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EyeDoctorVisits_13to15,HealthAdvice_EyeDoctorVisits,,1/31/2018,,,,,,,,,,,
16 or more,Insurance,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,EyeDoctorVisits_16orMore,HealthAdvice_EyeDoctorVisits,,1/31/2018,,,,,,,,,,,
